blue_red,red,cyan_red,blue,blue_cyan,cyan,day,group,red_yellow,blue_yellow,cyan_yellow,yellow
21.0,5,3.0,47,34.0,12.0,0,Control,0.0,0.0,0.0,0.0
21.0,5,1.0,50,35.0,3.0,0,Lysozyme,4.0,25.0,9.0,7.0
15.0,11,2.0,6,28.0,10.0,0,Ovalbumin,3.0,9.0,11.0,22.0
14.0,11,5.0,4,20.0,29.0,6,Control,0.0,0.0,0.0,0.0
5.0,11,2.0,24,72.0,27.0,6,Lysozyme,1.0,9.0,6.0,7.0
1.0,16,0.0,9,19.0,10.0,6,Ovalbumin,2.0,11.0,30.0,11.0
5.0,9,0.0,31,8.0,3.0,10,Control,0.0,1.0,0.0,0.0
10.0,7,0.0,10,0.0,0.0,10,Lysozyme,0.0,5.0,0.0,0.0
15.0,16,0.0,24,6.0,1.0,10,Ovalbumin,0.0,1.0,0.0,0.0
4.0,12,5.0,11,63.0,28.0,3,Control,0.0,3.0,0.0,0.0
20.0,10,10.0,11,34.0,34.0,3,Lysozyme,1.0,3.0,1.0,0.0
3.0,11,5.0,8,31.0,37.0,3,Ovalbumin,0.0,0.0,0.0,0.0
14.0,7,0.0,11,1.0,0.0,5,Control,2.0,0.0,0.0,0.0
28.0,17,6.0,46,32.0,5.0,5,Lysozyme,1.0,7.0,4.0,4.0
1.0,62,39.0,4,12.0,43.0,5,Ovalbumin,0.0,1.0,0.0,0.0
1.0,11,51.0,9,35.0,55.0,7,Control,5.0,1.0,29.0,3.0
13.0,4,6.0,32,37.0,6.0,7,Lysozyme,2.0,7.0,1.0,0.0
21.0,32,2.0,7,3.0,5.0,7,Ovalbumin,13.0,6.0,1.0,6.0
7.0,4,24.0,189,60.0,23.0,12,Control,17.0,2.0,16.0,2.0
5.0,4,34.0,80,49.0,19.0,12,Lysozyme,6.0,3.0,36.0,2.0
13.0,6,43.0,79,50.0,17.0,12,Ovalbumin,5.0,7.0,7.0,1.0
9.0,1,6.0,43,25.0,13.0,14,Control,9.0,29.0,9.0,14.0
3.0,9,1.0,1,3.0,4.0,14,Lysozyme,26.0,2.0,1.0,63.0
9.0,2,0.0,1,0.0,0.0,14,Ovalbumin,8.0,5.0,0.0,332.0
10.0,14,1.0,2,1.0,0.0,11,Control,0.0,0.0,0.0,0.0
55.0,7,18.0,44,52.0,14.0,11,Lysozyme,1.0,6.0,4.0,6.0
15.0,4,5.0,93,61.0,7.0,11,Ovalbumin,0.0,11.0,5.0,0.0
4.0,38,21.0,7,9.0,2.0,8,Control,12.0,1.0,2.0,2.0
8.0,5,5.0,5,8.0,5.0,8,Lysozyme,10.0,28.0,5.0,23.0
10.0,8,5.0,9,18.0,5.0,8,Ovalbumin,1.0,2.0,2.0,2.0
11.0,1,2.0,49,24.0,5.0,2,Control,4.0,10.0,3.0,1.0
2.0,1,1.0,25,59.0,29.0,2,Lysozyme,0.0,2.0,13.0,1.0
8.0,3,0.0,34,4.0,0.0,2,Ovalbumin,0.0,1.0,4.0,0.0
1.0,2,0.0,40,46.0,28.0,1,Control,0.0,1.0,0.0,2.0
9.0,5,23.0,30,56.0,23.0,1,Lysozyme,0.0,0.0,0.0,0.0
19.0,8,7.0,64,29.0,3.0,1,Ovalbumin,0.0,0.0,0.0,0.0
25.0,15,9.0,4,23.0,37.0,4,Control,4.0,0.0,0.0,0.0
51.0,35,4.0,20,27.0,8.0,4,Lysozyme,12.0,31.0,1.0,5.0
0.0,47,0.0,10,55.0,44.0,4,Ovalbumin,0.0,0.0,0.0,0.0
22.0,36,32.0,29,12.0,3.0,13,Control,5.0,12.0,3.0,6.0
19.0,14,25.0,68,30.0,12.0,13,Lysozyme,0.0,0.0,0.0,0.0
13.0,1,32.0,89,40.0,9.0,13,Ovalbumin,2.0,2.0,8.0,1.0
7.0,4,3.0,7,22.0,0.0,9,Control,1.0,16.0,5.0,19.0
25.0,5,6.0,38,10.0,5.0,9,Lysozyme,1.0,1.0,0.0,0.0
7.0,11,3.0,19,1.0,0.0,9,Ovalbumin,6.0,7.0,10.0,2.0
